Panel Tag,Location,Voltage,Phase,Bus Rating (A),Main Breaker (A),Feed From,Circuit #,Description,Load (kW),Voltage,Phase,Load (A),Breaker (A),Poles,Wire Size,Conduit,Notes
MDP-1,Main Electrical Room,480/277,3Ø4W,800,600,Utility,1,Lighting - Floor 1,25,277,1,90,100,1,2,3/4 EMT,
MDP-1,Main Electrical Room,480/277,3Ø4W,800,600,Utility,2,Receptacles - Floor 1,20,120,1,167,200,1,2/0,1-1/4 EMT,
MDP-1,Main Electrical Room,480/277,3Ø4W,800,600,Utility,3,AHU-1,30,480,3,36,50,3,6,1-1/4 EMT,
MDP-1,Main Electrical Room,480/277,3Ø4W,800,600,Utility,4,Chiller,150,480,3,180,250,3,4/0,3 RMC,
Panel A,Electrical Room 1,208/120,3Ø4W,225,200,MDP-1,1,Lighting - Corridor,8,120,1,67,70,1,4,3/4 EMT,
Panel A,Electrical Room 1,208/120,3Ø4W,225,200,MDP-1,2,Receptacles - Office,12,120,1,100,125,1,3,1 EMT,
Panel A,Electrical Room 1,208/120,3Ø4W,225,200,MDP-1,3,Server Room UPS,15,208,3,42,50,3,8,3/4 EMT,
Panel B,Electrical Room 2,208/120,3Ø4W,225,200,MDP-1,1,Lighting - Floor 2,8,120,1,67,70,1,4,3/4 EMT,
Panel B,Electrical Room 2,208/120,3Ø4W,225,200,MDP-1,2,Receptacles - Lab,15,120,1,125,150,1,1/0,1-1/4 EMT,
Panel B,Electrical Room 2,208/120,3Ø4W,225,200,MDP-1,3,Fume Hoods,25,208,3,69,90,3,2,1 EMT
